,beta,delta,val
636,1.05,0.932,44212.65759699872
637,1.05,0.934,20234.41818086676
638,1.05,0.936,11706.300705145104
639,1.05,0.9380000000000001,11866.562338026055
640,1.05,0.94,17099.895469770076
641,1.05,0.942,24766.254333004137
642,1.05,0.944,33062.50564778927
643,1.05,0.946,42200.6926610902
644,1.05,0.948,52045.84362326782
645,1.05,0.95,62664.44670159038
646,1.05,0.952,74231.45624498262
647,1.05,0.954,87458.36604947125
648,1.05,0.956,102271.13268227121
649,1.05,0.958,118942.69070452629
650,1.05,0.96,138355.1510310704
